FK_NAME,PARENT_TABLE,PARENT_COLUMN,REFERENCED_TABLE,REFERENCED_COLUMN,PARENT_SCHEMA,REFERENCED_SCHEMA
FK_BackendMachines_FastUploadFolders_LastImportedTemplateMachineId,FastUploadFolders,LastImportedTemplateMachineId,BackendMachines,Id,dbo,dbo
FK_Users_FastUploadFolders_UserId,FastUploadFolders,UserId,Users,Id,dbo,dbo
FK_Users_FinishedWelcomeTours_UserId,FinishedWelcomeTours,UserId,Users,Id,dbo,dbo
FK_OsFamily_GuestOsIdentifier_OsFamilyId,GuestOsIdentifiers,OsFamilyId,OsFamilies,Id,dbo,dbo
FK_VmwareApiVersion_GuestOsIdentifier_VmwareApiVersionId,GuestOsIdentifiers,VmwareApiVersionId,VmwareApiVersions,Id,dbo,dbo
FK_GuidedJourneys_GuidedJourneyChapters_GuidedJourneyId,GuidedJourneyChapters,GuidedJourneyId,GuidedJourneys,Id,dbo,dbo
FK_GuidedJourneys_GuidedJourneySectionProgresses_GuidedJourneyId,GuidedJourneySectionProgresses,GuidedJourneyId,GuidedJourneys,Id,dbo,dbo
FK_GuidedJourneySections_GuidedJourneySectionProgresses_GuidedJourneySectionId,GuidedJourneySectionProgresses,GuidedJourneySectionId,GuidedJourneySections,Id,dbo,dbo
FK_ViewerPages_GuidedJourneySectionProgresses_ViewerPageId,GuidedJourneySectionProgresses,ViewerGuidedJourneyPageId,ViewerPages,Id,dbo,dbo
FK_Checkpoints_GuidedJourneySections_ActiveCheckpointId,GuidedJourneySections,ActiveCheckpointId,Checkpoints,Id,dbo,dbo
FK_GuidedJourneyChapters_GuidedJourneySections_GuidedJourneyChapterId,GuidedJourneySections,GuidedJourneyChapterId,GuidedJourneyChapters,Id,dbo,dbo
FK_GuidedJourneys_GuidedJourneySections_GuidedJourneyId,GuidedJourneySections,GuidedJourneyId,GuidedJourneys,Id,dbo,dbo
FK_Courses_Instructors_CourseId,Instructors,CourseId,Courses,Id,dbo,dbo
FK_UsersProjects_Instructors_VendorUserProjectId,Instructors,VendorUserProjectId,UsersProjects,Id,dbo,dbo
FK_ClassSponsoredLinks_Invitations_ClassSponsoredLinkId,Invitations,ClassSponsoredLinkId,ClassSponsoredLinks,Id,dbo,dbo
FK_EnvironmentPolicies_Invitations_EnvironmentPolicyId,Invitations,EnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_Envs_Invitations_ForEnvId,Invitations,ForEnvId,Envs,Id,dbo,dbo
FK_Envs_Invitations_CreatedEnvId,Invitations,CreatedEnvId,Envs,Id,dbo,dbo
FK_Envs_Invitations_AcceptedByCsEnvId,Invitations,AcceptedByCsEnvId,Envs,Id,dbo,dbo
FK_EnvUserRoles_Invitations_AcceptedByEnvUserRoleId,Invitations,AcceptedByEnvUserRoleId,EnvUserRoles,Id,dbo,dbo
FK_ProjectPrototypes_Invitations_ProjectPrototypeId,Invitations,ProjectPrototypeId,ProjectPrototypes,Id,dbo,dbo
FK_ProjectTeams_Invitations_VendorId,Invitations,VendorId,ProjectTeams,Id,dbo,dbo
FK_ProjectTeams_Invitations_ProjectTeamId,Invitations,ProjectTeamId,ProjectTeams,Id,dbo,dbo
FK_Prototypes_Invitations_ForPrototypeId,Invitations,ForPrototypeId,Prototypes,Id,dbo,dbo
FK_Regions_Invitations_RegionId,Invitations,RegionId,Regions,Id,dbo,dbo
FK_Users_Invitations_AcceptedByUserId,Invitations,AcceptedByUserId,Users,Id,dbo,dbo
FK_Users_Invitations_SentByUserId,Invitations,SentByUserId,Users,Id,dbo,dbo
FK_UsersProjects_Invitations_AcceptedByVupId,Invitations,AcceptedByVupId,UsersProjects,Id,dbo,dbo
FK_UsersProjects_Invitations_AcceptedByEupId,Invitations,AcceptedByEupId,UsersProjects,Id,dbo,dbo
FK_UsersProjects_Invitations_OwningSEId,Invitations,OwningSEId,UsersProjects,Id,dbo,dbo
FK_IsoFiles_IsoFileRegions_IsoFileId,IsoFileRegions,IsoFileId,IsoFiles,Id,dbo,dbo
FK_Regions_IsoFileRegions_RegionId,IsoFileRegions,RegionId,Regions,Id,dbo,dbo
FK_Users_IsoFiles_UserId,IsoFiles,UserId,Users,Id,dbo,dbo
FK_IsoFiles_IsoFiles_Projects_IsoFileId,IsoFiles_Projects,IsoFileId,IsoFiles,Id,dbo,dbo
FK_Projects_IsoFiles_Projects_ProjectId,IsoFiles_Projects,ProjectId,Projects,Id,dbo,dbo
FK_JobTypes_Jobs_TypeId,Jobs,TypeId,JobTypes,Id,dbo,dbo
FK_Stages_Jobs_StageId,Jobs,StageId,Stages,Id,dbo,dbo
FK_JobTypes_JobTypesParameters_JobTypeId,JobTypesParameters,JobTypeId,JobTypes,Id,dbo,dbo
FK_Courses_LtiConfigurations_CourseId,LtiConfigurations,CourseId,Courses,Id,dbo,dbo
FK_BackendMachines_MachineDomains_DomainControllerId,MachineDomains,DomainControllerId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_Machines_BackendMachineId,Machines,BackendMachineId,BackendMachines,Id,dbo,dbo
FK_Envs_Machines_EnvId,Machines,EnvId,Envs,Id,dbo,dbo
FK_PrototypeVersions_Machines_PrototypeVersionId,Machines,PrototypeVersionId,PrototypeVersions,Id,dbo,dbo
FK_Machine_LastIsoFileMachineRequestId,Machines,LastIsoFileMachineRequestId,Requests,Id,dbo,dbo
FK_Requests_Machines_AddMachineRequestId,Machines,AddMachineRequestId,Requests,Id,dbo,dbo
FK_BackendMachines_MachineScriptRuns_MachineId,MachineScriptRuns,MachineId,BackendMachines,Id,dbo,dbo
FK_Machines_MachineScriptRuns_UIMachineId,MachineScriptRuns,UIMachineId,Machines,Id,dbo,dbo
FK_BackendMachines_MachineUsers_MachineId,MachineUsers,MachineId,BackendMachines,Id,dbo,dbo
FK_MachineDomains_MachineUsers_DomainId,MachineUsers,DomainId,MachineDomains,Id,dbo,dbo
FK_Machines_MachineVanityNames_MachineId,MachineVanityNames,MachineId,Machines,Id,dbo,dbo
FK_BackendMachines_NetAdapters_BackendMachineId,NetAdapters,BackendMachineId,BackendMachines,Id,dbo,dbo
FK_Networks_NetAdapters_NetworkId,NetAdapters,NetworkId,Networks,Id,dbo,dbo
FK_Regions_NetAdapters_RegionId,NetAdapters,RegionId,Regions,Id,dbo,dbo
FK_BackendMachineGroups_Networks_BackendMachineGroupId,Networks,BackendMachineGroupId,BackendMachineGroups,Id,dbo,dbo
FK_Networks_Networks_ExternalNetworkId,Networks,ExternalNetworkId,Networks,Id,dbo,dbo
FK_Regions_Networks_RegionId,Networks,RegionId,Regions,Id,dbo,dbo
FK_EnvironmentPolicies_Permalinks_EnvironmentPolicyId,Permalinks,EnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_Projects_Permalinks_ProjectId,Permalinks,ProjectId,Projects,Id,dbo,dbo
FK_PrototypeVersions_Permalinks_PrototypeVersionId,Permalinks,PrototypeVersionId,PrototypeVersions,Id,dbo,dbo
FK_Regions_Permalinks_RegionId,Permalinks,RegionId,Regions,Id,dbo,dbo
FK_Projects_Pipelines_ProjectId,Pipelines,ProjectId,Projects,Id,dbo,dbo
FK_Users_Pipelines_OwnerId,Pipelines,OwnerId,Users,Id,dbo,dbo
FK_Pipelines_PipelinesInstances_PipelineId,PipelinesInstances,PipelineId,Pipelines,Id,dbo,dbo
FK_StagesInstances_PipelinesInstances_CurrentStageInstanceId,PipelinesInstances,CurrentStageInstanceId,StagesInstances,Id,dbo,dbo
FK_Users_PipelinesInstances_ExecutorId,PipelinesInstances,ExecutorId,Users,Id,dbo,dbo
FK_ProjectsFlags_ProjectIpRestrictions_ProjectFlagsId,ProjectIpRestrictions,ProjectFlagsId,ProjectsFlags,Id,dbo,dbo
FK_Projects_ProjectPrototypes_ProjectId,ProjectPrototypes,ProjectId,Projects,Id,dbo,dbo
FK_Prototypes_ProjectPrototypes_PrototypeId,ProjectPrototypes,PrototypeId,Prototypes,Id,dbo,dbo
FK_Contracts_Projects_LatestContractId,Projects,LatestContractId,Contracts,Id,dbo,dbo
FK_ProjectsFlags_Projects_ProjectFlagsId,Projects,ProjectFlagsId,ProjectsFlags,Id,dbo,dbo
