SCHEMA_NAME,TABLE_NAME,INDEX_NAME,INDEX_TYPE,is_unique,is_primary_key,COLUMN_NAME,key_ordinal
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,SanitizeDisplayName,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,ProjectId,1
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,ValidUntil,2
dbo,ContentFolders,IX_ContentFolders_UserId_ValidUntil,NONCLUSTERED,false,false,UserId,1
dbo,ContentFolders,IX_ContentFolders_UserId_ValidUntil,NONCLUSTERED,false,false,ValidUntil,2
dbo,ContentFolders,PK_ContentFolders,CLUSTERED,true,true,Id,1
dbo,ContractAwsAmis,IX_ContractAwsAmis_ContractId,NONCLUSTERED,false,false,ContractId,1
dbo,ContractAwsAmis,PK_ContractAwsAmis,CLUSTERED,true,true,Id,1
dbo,Contracts,PK_Contracts,CLUSTERED,true,true,Id,1
dbo,Contracts_Projects,PK_Contracts_Projects,CLUSTERED,true,true,ContractId,1
dbo,Contracts_Projects,PK_Contracts_Projects,CLUSTERED,true,true,ProjectId,2
dbo,Contracts_Users,PK_Contracts_Users,CLUSTERED,true,true,ContractId,1
dbo,Contracts_Users,PK_Contracts_Users,CLUSTERED,true,true,UserId,2
dbo,ContractsTerms,PK_ContractsTerms,CLUSTERED,true,true,Id,1
dbo,CourseMeetings,IX_CourseMeetings_CourseId,NONCLUSTERED,false,false,CourseId,1
dbo,CourseMeetings,PK_CourseMeetings,CLUSTERED,true,true,Id,1
dbo,CoursePredictions,Course_Predictions_IX_Class_Id,NONCLUSTERED,false,false,ClassId,1
dbo,CoursePredictions,PK_CoursePredictions,CLUSTERED,true,true,Id,1
dbo,CourseRegions,IX_CourseRegions_CourseId,NONCLUSTERED,false,false,CourseId,1
dbo,CourseRegions,PK_CourseRegions,CLUSTERED,true,true,Id,1
dbo,CourseRegions,UQ_CourseRegions_BIZKEY,NONCLUSTERED,true,false,CourseId,1
dbo,CourseRegions,UQ_CourseRegions_BIZKEY,NONCLUSTERED,true,false,RegionId,2
dbo,CourseRegions,UQ_CourseRegions_BIZKEY,NONCLUSTERED,true,false,ValidUntil,3
dbo,Courses,IX_Courses_CreatorId,NONCLUSTERED,false,false,CreatorId,1
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,Id,0
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,ValidUntil,0
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,StartDate,0
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,PrototypeId,0
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,RegionId,0
dbo,Courses,IX_Courses_EndDate_Inc_Id_ValidUntil_StartDate_PrototypeId_RegionId,NONCLUSTERED,false,false,EndDate,1
dbo,Courses,IX_Courses_EnvironmentPolicyId,NONCLUSTERED,false,false,EnvironmentPolicyId,1
dbo,Courses,IX_Courses_LeadInstructorId,NONCLUSTERED,false,false,LeadInstructorId,1
dbo,Courses,IX_Courses_OriginalCourseId,NONCLUSTERED,false,false,OriginalCourseId,1
dbo,Courses,IX_Courses_PrototypeId,NONCLUSTERED,false,false,PrototypeId,1
dbo,Courses,IX_Courses_RegionId,NONCLUSTERED,false,false,RegionId,1
dbo,Courses,IX_Courses_SsoConnectorId,NONCLUSTERED,false,false,SsoConnectorId,1
dbo,Courses,IX_Courses_TeamId,NONCLUSTERED,false,false,TeamId,1
dbo,Courses,IX_Courses_ViewerCustomizationId,NONCLUSTERED,false,false,ViewerCustomizationId,1
dbo,Courses,PK_Courses,CLUSTERED,true,true,Id,1
dbo,CourseStages,IX_CourseStages_CourseId,NONCLUSTERED,false,false,CourseId,1
dbo,CourseStages,IX_CourseStages_PrototypeId,NONCLUSTERED,false,false,PrototypeId,1
dbo,CourseStages,PK_CourseStages,CLUSTERED,true,true,Id,1
dbo,CustomEmails,IX_CustomEmails_ProjectId,NONCLUSTERED,false,false,ProjectId,1
dbo,CustomEmails,PK_CustomEmails,CLUSTERED,true,true,Id,1
dbo,CustomFieldDefinitions,IX_CustomFieldDefinitions_TrainingSettingsId,NONCLUSTERED,false,false,TrainingSettingsId,1
dbo,CustomFieldDefinitions,PK_CustomFieldDefinitions,CLUSTERED,true,true,Id,1
dbo,CustomFieldValues,IX_CustomFieldValues_CourseId,NONCLUSTERED,false,false,CourseId,1
dbo,CustomFieldValues,IX_CustomFieldValues_CustomFieldDefinitionId,NONCLUSTERED,false,false,CustomFieldDefinitionId,1
dbo,CustomFieldValues,PK_CustomFieldValues,CLUSTERED,true,true,Id,1
dbo,DcmTotalResources,PK_DcmTotalResources,NONCLUSTERED,true,true,Id,1
dbo,DeleteEnvRequests,PK_DeleteEnvRequests,CLUSTERED,true,true,Id,1
dbo,DeprovisionSteps,PK_DeprovisionSteps,CLUSTERED,true,true,Id,1
dbo,EditMachineOperationsAdditionalData,PK_EditMachineOperationsAdditionalData,CLUSTERED,true,true,Id,1
dbo,EndUserLoginCustomizations,IX_EndUserLoginCustomizations_ViewerCustomizationId,NONCLUSTERED,false,false,ViewerCustomizationId,1
dbo,EndUserLoginCustomizations,PK_EndUserLoginCustomizations,CLUSTERED,true,true,Id,1
dbo,EndUsersAccessPermissions,IX_EndUsersAccessPermissions_CourseId,NONCLUSTERED,false,false,CourseId,1
